title,color,details,fit_type,hem_shaped,length,material,neckline,occasion,pattern_type,season,sheer,sleeve_length,sleeve_type,style,type,waist_line
SXY High Waist Bootcut Leg Jeans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,jeans,high
High Waisted Slit Stacked Hem Skinny Jeans,-,-,skinny,slit,-,-,high,-,-,-,-,-,-,-,jeans,-
Drawstring Waist Skinny Jeans,-,drawstring waist,skinny,-,-,-,-,-,-,-,-,-,-,-,jeans,-
Solid High Waist Denim Shorts,-,-,-,-,-,denim,-,-,plain,-,-,-,-,-,shorts,high
Split Hem Zip Back Denim Shorts,-,zipper back,-,-,-,denim,-,-,-,-,-,-,-,-,shorts,-
Slant Pocket Solid Denim Shorts,-,slant pockets,-,-,-,denim,-,-,plain,-,-,-,-,-,shorts,-
Roll Tab Hem Denim Shorts,-,-,-,-,-,denim,-,-,-,-,-,-,roll tab,-,shorts,-
SXY Ripped Raw Trim Denim Shorts,-,ripped,-,-,-,denim,-,-,-,-,-,-,-,-,shorts,-
SXY Ripped Raw Hem Denim Shorts,-,ripped,-,raw,-,denim,-,-,-,-,-,-,-,-,shorts,-
SXY High Waist Ripped Frayed Raw Hem Denim Shorts,-,ripped,-,raw,-,denim,-,-,-,-,-,-,-,-,shorts,high
Fold Pleated Raw Cut Wrap Denim Skort,-,wrap,-,raw,-,denim,-,-,-,-,-,-,-,-,skorts,-
PETITE Buckle Belt Raw Hem Denim Shorts,-,belted,-,raw,-,denim,-,-,-,-,-,-,-,-,shorts,-
Solid Skinny Denim Shorts,-,-,skinny,-,-,denim,-,-,plain,-,-,-,-,-,shorts,-
DAZY High Waist Asymmetrical Hem Denim Skirt,-,-,-,asymmetrical,-,denim,-,-,-,-,-,-,-,-,skirt,high
High Waist Ripped Raw Hem Bodycon Denim Skirt,-,ripped,-,raw,-,denim,-,-,-,-,-,-,-,-,skirt,high
SXY High Waist Wrap Knot Side Denim Skirt,-,wrap,-,-,-,denim,-,-,-,-,-,-,-,-,skirt,high
High Waist Fake Button Denim Skirt,-,fake buttons,-,-,-,denim,-,-,-,-,-,-,-,-,skirt,high
Asymmetrical Hem Denim Skirt,-,-,-,asymmetrical,-,denim,-,-,-,-,-,-,-,-,skirt,-
Lace Up Raw Hem Denim Skirt,-,lace up,-,raw,-,denim,-,-,-,-,-,-,-,-,skirt,-
Chevron Pattern High Waist Knit Skirt,-,knit,-,-,-,-,-,-,chevron,-,-,-,-,-,skirt,high
Split Hem Argyle Knit Skirt,-,knit,-,-,-,-,-,-,argyle,-,-,-,-,-,skirt,-
Argyle Pattern Straight Knit Skirt,-,knit,-,straight,-,-,-,-,argyle,-,-,-,-,-,skirt,-
Mermaid Hem High Waist Knit Skirt,-,knit,-,mermaid,-,-,-,-,-,-,-,-,-,-,skirt,high
MOTF PREMIUM VISCOSE SPLIT KNIT PANTS,-,split,-,-,-,viscose,-,-,-,-,-,-,-,-,pant,-
Tie Side Wide Leg Knit Pants,-,tied,-,-,-,-,-,-,-,-,-,-,-,-,pant,-
Argyle Pattern Knit Pants,-,knit,-,-,-,-,-,-,argyle,-,-,-,-,-,pant,-
Two Tone Tie Front One Piece Swimwear,-,tied front,-,-,-,-,-,-,two tone,-,-,-,-,-,-,-
Open Front Rib-knit Coat &amp; Pants Set With Tank Top,-,rib knit,-,-,-,-,-,-,-,-,-,-,-,-,pant,-
Solid Crop Tank Top &amp; Shirt &amp; Pants,-,-,-,-,crop,-,-,-,plain,-,-,-,-,-,pant,-
Paisley Print Open Front Kimono &amp; Shorts Without Cami Top,-,open front,-,-,-,-,-,-,paisley,-,-,-,kimono,-,shorts,-
MOD Drop Shoulder Duster Cardigan &amp; Geo Pattern Sweater Dress,-,-,-,-,-,-,-,-,geometric,-,-,-,drop shoulder,-,cardigan,-
Solid Unitard Tank Jumpsuit,-,-,-,-,-,-,-,-,plain,-,-,-,-,-,jumpsuit,-
DAZY Zip Back Crop Tube Denim Top,medium wash,zipper back,-,-,crop,-,-,-,-,-,-,-,-,-,top,-
BLUES Bleach Wash Flap Pocket Denim Blouse,medium wash,washed,-,-,-,-,-,-,-,-,-,-,-,-,blouse,-
SXY Lace Up Front Denim Cami Top,-,lace up front,-,-,-,denim,-,-,-,-,-,-,-,-,cami,-
Plaid Flap Pocket Shacket,-,flap pockets,-,-,-,-,-,-,plaid,-,-,-,-,-,-,-
Eyelet Embroidery Tie Front Kimono,-,tied front,-,-,-,-,-,-,-,-,-,-,kimono,-,-,-
Ditsy Floral Print Open Front Kimono,-,open front,-,-,-,-,-,-,ditsy floral,-,-,-,kimono,-,-,-
Button Front Kimono,-,button front,-,-,-,-,-,-,-,-,-,-,kimono,-,-,-
Circle Lace Trim Tie Front Kimono Without Bikini,-,tied front,-,-,-,-,-,-,-,-,-,-,kimono,-,-,-
Plain Slit Thigh Kimono,-,-,-,slit,long,-,-,-,plain,-,-,-,kimono,-,-,-
Lettuce Trim Belted Kimono,-,belted,-,-,-,-,-,-,-,-,-,-,kimono,-,-,-
Rusttydustty Allover Floral Print Kimono,-,-,-,-,-,-,-,-,floral,-,-,-,kimono,-,-,-
Floral Open Front Longline Kimono,-,open front,-,-,-,-,-,-,floral,-,-,-,kimono,-,longline,-
Floral Print Split Hem Belted Kimono,-,belted,-,-,-,-,-,-,floral,-,-,-,kimono,-,-,-
Sheer Swiss Dot Tie Front Lace Insert Kimono,-,lace insert,-,-,-,-,-,-,swiss dot,-,yes,-,kimono,-,-,-
Solid Sheer Mesh Kimono,-,sheer mesh,-,-,-,-,-,-,plain,-,-,-,kimono,-,-,-
Leaf Print Chiffon Knot Front Kimono,-,knot front,-,-,-,chiffon,-,-,leaf,-,-,-,kimono,-,-,-
Tropical Print Tasseled Hem Kimono,-,-,-,-,-,-,-,-,tropical,-,-,-,kimono,-,-,-
Tie Dye Drawstring Waist Kimono,-,drawstring waist,-,-,-,-,-,-,tie dye,-,-,-,kimono,-,-,-
X Hello Kitty and Friends Random Bow &amp; Cartoon Graphic Tie Front Kimono,-,bow,-,-,-,-,-,-,random,-,-,-,kimono,-,-,-
Random Flag Print Kimono,-,-,-,-,-,-,-,-,flag,-,-,-,kimono,-,-,-
Allover Print Tassel Detail Kimono,-,tassel,-,-,-,-,-,-,all over,-,-,-,kimono,-,-,-
Slit Side Single Breasted Kimono,-,single breasted,-,slit,-,-,-,-,-,-,-,-,kimono,-,-,-
Tropical Mesh Drawstring Knot Kimono,-,knot,-,-,-,mesh,-,-,tropical,-,-,-,kimono,-,-,-
Floral Print Bishop Sleeve Slit Side Kimono,-,-,-,slit,-,-,-,-,floral,-,-,-,kimono,-,-,-
Button Front Chiffon Kimono,-,button front,-,-,-,chiffon,-,-,-,-,-,-,kimono,-,-,-
Flutter Sleeve Lace Insert Tie Front Kimono,-,tied front,-,-,-,-,-,-,-,-,-,-,kimono,-,-,-
Surplice Neck Form Fitted Solid Knit Top,-,knit,skinny,-,-,-,surplice,-,plain,-,-,-,-,-,top,-
Bandana Hem Turtleneck Knit Top,-,knit,-,bandana,-,-,-,-,-,-,-,-,-,-,top,-
Solid Crop Tie Back Knit Halter Top,-,knit,-,-,crop,-,halter,-,plain,-,-,-,-,-,top,-
Knit Mix Notched Neckline Knit Top,-,knit,-,-,-,-,notched,-,-,-,-,-,-,-,top,-
DAZY Scallop Trim Pointelle Knit Top,-,pointelle knit,-,-,-,-,-,-,-,-,-,-,-,-,top,-
Striped Lace Up Backless Asymmetrical Hem Knit Top,-,knit,-,asymmetrical,-,-,-,-,stripes,-,-,-,-,-,top,-
Backless Knot Flutter Sleeve Knit Top,-,knot,-,-,-,-,-,-,-,-,-,-,flutter,-,top,-
V-neck Collared Knit Top,-,knit,-,-,-,-,v,-,-,-,-,-,-,-,top,-
Ribbed V-Neck Crop Top,-,ribbed,-,-,crop,-,v,-,-,-,-,-,-,-,top,-
DAZY Solid V Neck Knit Top,-,knit,-,-,-,-,v,-,plain,-,-,-,-,-,top,-
MOD Button Half Placket Argyle Knit Top,-,knit,-,-,-,-,-,-,argyle,-,-,-,-,-,top,-
MOTF PREMIUM NOTCHED NECK KNIT TOP,-,knit,-,-,-,-,notched,-,-,-,-,-,-,-,top,-
Twist Front Cami Knit Top,-,twist front,-,-,-,-,-,-,-,-,-,-,-,-,top,-
Argyle Knit V-neck Sweater Vest Without Tee,-,knit,-,-,-,-,v,-,argyle,-,-,-,-,-,tee,-
High Neck Split Hem Knot Side Sweater Vest Without Top,-,knot,-,-,-,-,high,-,-,-,-,-,-,-,top,-
Argyle &amp; Skull Pattern Sweater Vest Without Blouse,-,-,-,-,-,-,-,-,skull,-,-,-,-,-,blouse,-
Swiss Dot Contrast Lace Tie Back Bodysuit,-,tied back,-,-,-,-,-,-,swiss dot,-,-,-,-,-,bodysuit,-
PETITE Solid Plunging Neck Cami Bodysuit,-,-,-,-,-,-,deep v,-,plain,-,-,-,-,-,bodysuit,-
Contrast Lace Solid Bodysuit,-,contrast lace,-,-,-,-,-,-,plain,-,-,-,-,-,bodysuit,-
BASICS Solid High Neck Bodysuit,-,-,-,-,-,-,high,-,plain,-,-,-,-,basics,bodysuit,-
Abstract Figure Graphic Tank Bodysuit,-,-,-,-,-,-,-,-,figure,-,-,-,-,-,bodysuit,-
SXY Lace Up Front Plunging Neck Bodysuit,-,lace up front,-,-,-,-,deep v,-,-,-,-,-,-,-,bodysuit,-
SXY Mock Neck Mesh Panel Bodysuit,-,panelled,-,-,-,mesh,mock,-,-,-,-,-,-,-,bodysuit,-
BAE Ruched Plunging Neck Slim Fit Bodysuit,-,ruched,slim,-,-,-,deep v,-,-,-,-,-,-,-,bodysuit,-
SXY Solid Half Zip Bodysuit,-,half zip,-,-,-,-,-,-,plain,-,-,-,-,-,bodysuit,-
Marble Print Mock Neck Bodysuit,-,-,-,-,-,-,mock,-,marble,-,-,-,-,-,bodysuit,-
Square Neck Button Front Bodysuit,-,button front,-,-,-,-,square,-,-,-,-,-,-,-,bodysuit,-
Mock-neck Rib-knit Bodysuit,-,rib knit,-,-,-,-,mock,-,-,-,-,-,-,-,bodysuit,-
Shoulder Pads Slim Fit Tank Bodysuit,-,padded,slim,-,-,-,-,-,-,-,-,-,-,-,bodysuit,-
Baroque Print Mock Neck Bodysuit Without Lingerie Set,-,-,-,-,-,-,mock,-,baroque,-,-,-,-,-,bodysuit,-
Zipper Front High-cut Hem Tank Bodysuit,-,zipper front,-,-,-,-,high,-,-,-,-,-,-,-,bodysuit,-
Ribbed Mock Neck Puff Sleeve Bodysuit,-,ribbed,-,-,-,-,mock,-,-,-,-,-,puff,-,bodysuit,-
Lettuce Trim Rib-knit Form Fitted Bodysuit,-,rib knit,skinny,-,-,-,-,-,-,-,-,-,-,-,bodysuit,-
Twist Front Textured Tube Bodysuit,-,textured,-,-,-,-,-,-,-,-,-,-,-,-,bodysuit,-
Random Butterfly Print Cut Out Lace Up Knot Mesh Bodysuit,-,knot,-,-,-,mesh,-,-,butterfly,-,-,-,-,-,bodysuit,-
Shirred Cuff Flocked Star Mesh Sleeve Rib-knit Bodysuit,-,cuffed sleeves,-,-,-,-,-,-,star,-,-,-,-,-,bodysuit,-
Solid Scoop Neck Tee Bodysuit,-,-,-,-,-,-,scoop,-,plain,-,-,-,-,-,bodysuit,-
Mock Neck Chain &amp; Baroque Print Bodysuit,-,-,-,-,-,-,mock,-,baroque,-,-,-,-,-,bodysuit,-
Leopard One Shoulder Bodysuit,-,-,-,-,-,-,one shoulder,-,leopard,-,-,-,-,-,bodysuit,-
SXY Heart Cut Out Bodysuit,-,cut out,-,-,-,-,-,-,heart,-,-,-,-,-,bodysuit,-
Mock Neck Rib-knit Unitard Romper,-,rib knit,-,-,-,-,mock,-,-,-,-,-,-,-,romper,-
Solid Sleeveless Unitard Jumpsuit,-,-,-,-,-,-,-,-,plain,-,-,sleeveless,-,-,jumpsuit,-
Cut Out Buckle High Neck Unitard Romper,-,buckled,-,-,-,-,high,-,-,-,-,-,-,-,romper,-
Zebra Striped Sheer Unitard Romper Without Lingerie,-,-,-,-,-,-,-,-,zebra stripe,-,yes,-,-,-,romper,-
Contrast Letter Tape Crisscross Back Tank Unitard Romper,-,tape,-,-,-,-,-,-,letter,-,-,-,-,-,romper,-
Camo Print Cami Unitard Jumpsuit,-,-,-,-,-,-,-,-,camo,-,-,-,-,-,jumpsuit,-
Slogan Graphic Unitard Romper Without Belt,-,belted,-,-,-,-,-,-,graphic,-,-,-,-,-,romper,-
Marbled Print Romper Unitard,-,-,-,-,-,-,-,-,marble,-,-,-,-,-,unitard,-
Scoop Neck Lettuce Trim Unitard Romper,-,lettuce trim,-,-,-,-,scoop,-,-,-,-,-,-,-,romper,-
Letter Patch Detail Drop Shoulder Sweatshirt,-,patched,-,-,-,-,-,-,letter,-,-,-,drop shoulder,-,sweatshirt,-
Cartoon And Letter Graphic Thermal Lined Sweatshirt,-,lined,-,-,-,-,-,-,letter,-,-,-,-,-,sweatshirt,-
Colorblock Kangaroo Pocket Drawstring Hoodie,-,drawstring,-,-,-,-,-,-,colorblock,-,-,-,-,-,-,-
Argyle Textured Puff Sleeve Pullover,-,textured,-,-,-,-,-,-,argyle,-,-,-,puff,-,pullovers,-
SXY Letter Graphic Drop Shoulder Sweatshirt,-,-,-,-,-,-,-,-,letter,-,-,-,drop shoulder,-,sweatshirt,-
Drop Shoulder Letter Graphic Pullover,-,-,-,-,-,-,-,-,letter,-,-,-,drop shoulder,-,pullovers,-
Solid Drop Shoulder Hanky Hem Crop Sweatshirt,-,-,-,hanky,crop,-,-,-,plain,-,-,-,drop shoulder,-,sweatshirt,-
Star Rhinestone Zip Up Drop Shoulder Hoodie,-,rhinestone,-,-,-,-,-,-,star,-,-,-,drop shoulder,-,zipper up,-
Butterfly Print Drop Shoulder Sweatshirt,-,-,-,-,-,-,-,-,butterfly,-,-,-,drop shoulder,-,sweatshirt,-
DAZY Polo Neck Letter Patch Detail Drop Shoulder Sweatshirt,-,patched,-,-,-,-,polo,-,letter,-,-,-,drop shoulder,-,sweatshirt,-
Kangaroo Pocket Drop Shoulder Half Zip Up Thermal Pullover,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cartoon Print Drop Shoulder Sweatshirt,-,-,-,-,-,-,-,-,cartoon,-,-,-,drop shoulder,-,sweatshirt,-
Plaid Panel Letter Patched Striped Trim Drop Shoulder Hoodie,-,patched,-,-,-,-,-,-,letter,-,-,-,drop shoulder,-,-,-
Mock Neck Drop Shoulder Crop Teddy Pullover,-,-,-,-,crop,-,mock,-,-,-,-,-,drop shoulder,-,pullovers,-
Letter Graphic Drop Shoulder Crop Drawstring Thermal Lined Hoodie,-,lined,-,-,crop,-,-,-,letter,-,-,-,drop shoulder,-,-,-
Slogan Graphic Drop Shoulder Drawstring Thermal Hoodie,-,drawstring,-,-,-,-,-,-,graphic,-,-,-,drop shoulder,-,-,-
Two Tone Button Half Placket Sweatshirt,-,button,-,-,-,-,-,-,two tone,-,-,-,-,-,sweatshirt,-
Varsity Striped Drawstring Hoodie,-,drawstring,-,-,-,-,-,-,stripes,-,-,-,-,-,-,-
Ripped Crop Denim Jacket,-,ripped,-,-,crop,denim,-,-,-,-,-,-,-,-,jacket,-
SXY Ripped Detail Button Up Denim Jacket,-,button up,-,-,-,denim,-,-,-,-,-,-,-,-,jacket,-
Flap Pockets Ripped Raw Hem Denim Jacket,-,ripped,-,raw,-,denim,-,-,-,-,-,-,-,-,jacket,-
Frayed Cropped Denim Jacket,-,-,-,frayed,crop,denim,-,-,-,-,-,-,-,-,jacket,-
SXY Drop Shoulder Ripped Raw Cut Denim Jacket,-,ripped,-,raw,-,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Ripped Topstitching Denim Jacket,-,ripped,-,-,-,denim,-,-,-,-,-,-,-,-,jacket,-
Drop Shoulder Flap Pocket Raw Hem Denim Jacket,-,flap pockets,-,raw,-,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Raw Hem Ripped Denim Jacket,-,ripped,-,raw,-,denim,-,-,-,-,-,-,-,-,jacket,-
Raw Hem Ripped Detail Denim Jacket,-,ripped,-,-,-,denim,-,-,-,-,-,-,-,-,jacket,-
SXY Flap Pocket Raw Hem Crop Denim Jacket,-,flap pockets,-,raw,crop,denim,-,-,-,-,-,-,-,-,jacket,-
BLUES Slim Denim Jacket,medium wash,-,slim,-,-,-,-,-,-,-,-,-,-,-,jacket,-
Puff Sleeve Button Placket Denim Jacket,-,button,-,-,-,denim,-,-,-,-,-,-,puff,-,jacket,-
Drop Shoulder Pearl Beaded Denim Jacket,-,beaded,-,-,-,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Drop Shoulder Faux Pearl Crop Denim Jacket,-,pearls,-,-,crop,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Drop Shoulder Raw Hem Denim Jacket,-,-,-,raw,-,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Light Washed Button Front Denim Jacket,medium wash,button front,-,-,-,-,-,-,-,-,-,-,-,-,jacket,-
Ripped Fringe Raw Trim Drop Shoulder Crop Denim Jacket,-,fringe,-,-,crop,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Ripped Flap Pocket Drop Shoulder Denim Jacket,-,ripped,-,-,-,denim,-,-,-,-,-,-,drop shoulder,-,jacket,-
Puff Sleeve Ripped Denim Jacket,-,ripped,-,-,-,denim,-,-,-,-,-,-,puff,-,jacket,-
SXY Ripped Raw Hem Denim Jacket,-,ripped,-,raw,-,denim,-,-,-,-,-,-,-,-,jacket,-
BLUES Flap Detail Button Up Denim Jacket,medium wash,button up,-,-,-,-,-,-,-,-,-,-,-,-,jacket,-
Washed Flap Pocket Raw Hem Denim Jacket,-,washed,-,raw,-,denim,-,-,-,-,-,-,-,-,jacket,-
SXY Ripped Flap Detail Denim Jacket,-,flap,-,-,-,denim,-,-,-,-,-,-,-,-,jacket,-
1pc Single Breasted Vest Blazer,-,single breasted,-,-,-,-,-,-,-,-,-,-,-,-,vest,-
Shawl Collar Double Breasted Vest Blazer,-,double breasted,-,-,-,-,shawl collar,-,-,-,-,-,-,-,vest,-
Solid Shawl Neck Vest Blazer,-,-,-,-,-,-,shawl collar,-,plain,-,-,-,-,-,vest,-
Shawl Collar Puff Sleeve Asymmetrical Hem Blazer,-,-,-,asymmetrical,-,-,shawl collar,-,-,-,-,-,puff,-,-,-
Solid Single Button Crop Blazer,-,single button,-,-,crop,-,-,-,plain,-,-,-,-,-,-,-
Solid Decorative Pocket Open Front Blazer,-,pocket,-,-,-,-,-,-,plain,-,-,-,-,-,-,-
evolu Lapel Collar Double Breasted Blazer Dress,-,double breasted,-,-,-,-,lapel,-,-,-,-,-,-,-,-,-
Striped Shawl Collar Open Front Blazer,-,open front,-,-,-,-,shawl collar,-,stripes,-,-,-,-,-,-,-
Double Breasted Decor Pocket Blazer,-,fake pockets,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Geo Pattern Button Front Pocket Coat,-,button front,-,-,-,-,-,-,geometric,-,-,-,-,-,coat,-
Grid Print Open Front Coat,-,open front,-,-,-,-,-,-,grid,-,-,-,-,-,coat,-
Ribbed Knit Split Hem Open Front Coat,-,open front,-,-,-,-,-,-,-,-,-,-,-,-,coat,-
Open Placket Pocket Front Vest,-,placket,-,-,-,-,-,-,-,-,-,-,-,-,vest,-
Gingham Zip Up Flannel Jacket,-,-,-,-,-,flannel,-,-,gingham,-,-,-,-,-,jacket,-
Drop Shoulder Two Tone Crop Bomber Jacket,-,-,-,-,crop,-,-,-,two tone,-,-,-,drop shoulder,-,jacket,-
DAZY Slant Pockets PU Leather Jacket,-,slant pockets,-,-,-,pu leather,-,-,-,-,-,-,-,-,jacket,-
Drawstring Waist Zip-up Hooded Jacket,-,drawstring waist,-,-,-,-,hooded,-,-,-,-,-,-,-,jacket,-
Letter Patched Colorblock Drop Shoulder Varsity Jacket,-,patched,-,-,-,-,-,-,letter,-,-,-,drop shoulder,-,jacket,-
Zip Up Drawstring Hooded Jacket,-,drawstring,-,-,-,-,hooded,-,-,-,-,-,-,-,jacket,-
Lapel Neck Zip Up Jacket,-,-,-,-,-,-,lapel,-,-,-,-,-,-,-,jacket,-
Plaid Print Sheer Jacket,-,-,-,-,-,-,-,-,plaid,-,yes,-,-,-,jacket,-
Drop Shoulder Flap Pocket Crop PU Jacket,-,flap pockets,-,-,crop,pu leather,-,-,-,-,-,-,drop shoulder,-,jacket,-
Embroidered Floral Detail O-ring Zip Up Bomber Jacket,-,embroidery,-,-,-,-,-,-,floral,-,-,-,-,-,jacket,-
Colorblock Number Print Snap Button Front Hooded Jacket,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zip Up Flap Pocket Patched Front Vest Jacket,-,patched,-,-,-,-,-,-,-,-,-,-,-,-,jacket,-
Solid Zip Front Jacket,-,zipper front,-,-,-,-,-,-,plain,-,-,-,-,-,jacket,-
Zip Up Rib-knit Hooded Jacket,-,rib knit,-,-,-,-,hooded,-,-,-,-,-,-,-,jacket,-
SXY Letter Embroidery Drop Shoulder Colorblock Varsity Jacket,-,embroidery,-,-,-,-,-,-,letter,-,-,-,drop shoulder,-,jacket,-
Drop Shoulder Striped Trim Crop Varsity Jacket,-,striped trim,-,-,crop,-,-,-,-,-,-,-,drop shoulder,-,jacket,-
Buffalo Plaid Print Drop Shoulder Zip Up Jacket,-,-,-,-,-,-,-,-,plaid,-,-,-,drop shoulder,-,jacket,-
PETITE Puff Sleeve Open Front Crop Jacket,-,open front,-,-,crop,-,-,-,-,-,-,-,puff,-,jacket,-
DAZY Drop Shoulder Drawstring Hooded Jacket,-,drawstring,-,-,-,-,hooded,-,-,-,-,-,drop shoulder,-,jacket,-
Apperloth A Zip Up Suedette Moto Jacket,-,-,-,-,-,-,-,-,-,-,-,-,-,-,jacket,-
DAZY Zip Up Drop Shoulder Bomber Jacket,-,-,-,-,-,-,-,-,-,-,-,-,drop shoulder,-,jacket,-
Slogan Graphic Drop Shoulder Varsity Jacket,-,-,-,-,-,-,-,-,graphic,-,-,-,drop shoulder,-,jacket,-
Apperloth A Zip Detail PU Leather Moto Jacket,-,zipper,-,-,-,pu leather,-,-,-,-,-,-,-,-,jacket,-
Color Block Zipper Hooded Jacket,-,zipper,-,-,-,-,hooded,-,colorblock,-,-,-,-,-,jacket,-
Collared Zip Up Colorblock Wind Jacket,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lapel Neck Drop Shoulder Dual Pocket Coat,-,dual pockets,-,-,-,-,lapel,-,-,-,-,-,drop shoulder,-,coat,-
DAZY Epaulettes Design Raglan Sleeve Trench Coat,-,-,-,-,-,-,-,-,-,-,-,-,raglan,-,trench coat,-
Single Button Plaid Coat,-,single button,-,-,-,-,-,-,plaid,-,-,-,-,-,coat,-
Drop Shoulder Plaid Overcoat,-,-,-,-,-,-,-,-,plaid,-,-,-,drop shoulder,-,-,-
Plaid Pattern Lapel Neck Double Breasted Patched Pocket Overcoat,-,patched,-,-,-,-,lapel,-,plaid,-,-,-,-,-,-,-
Zip Front Crop Vest Puffer Coat,-,zipper front,-,-,crop,-,-,-,-,-,-,-,-,-,coat,-
Zip Up Snap Button Puffer Coat,-,snap button,-,-,-,-,-,-,-,-,-,-,-,-,coat,-
O-ring Zipper Vest Puffer Coat,-,zipper,-,-,-,-,-,-,-,-,-,-,-,-,coat,-
Zip Up Puffer Vest Coat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,coat,-
Neon-Orange Zip Up Vest Puffer Coat,orange,-,-,-,-,-,-,-,-,-,-,-,-,-,coat,-
Simplee Open Front Patch Pocket Belted Quilted Padded Coat,-,padded,-,-,-,-,-,-,-,-,-,-,-,-,coat,-
ZIAI Patched Detail Hooded Puffer Coat,-,patched,-,-,-,-,hooded,-,-,-,-,-,-,-,coat,-
DAZY Zip Up Snap Button Hooded Puffer Coat,-,snap button,-,-,-,-,hooded,-,-,-,-,-,-,-,coat,-
DAZY Solid Zip Up Hooded Puffer Coat,-,-,-,-,-,-,hooded,-,plain,-,-,-,-,-,coat,-
SXY Solid Open Front Crop Fuzzy Coat,-,open front,-,-,crop,-,-,-,plain,-,-,-,-,-,coat,-
Twist Back Drop Shoulder Boat Neck Sweater,-,twist,-,-,-,-,boat,-,-,-,-,-,drop shoulder,-,sweater,-
Geo Pattern Drop Shoulder Sweater,-,-,-,-,-,-,-,-,geometric,-,-,-,drop shoulder,-,sweater,-
Solid High Neck Rib Knit Crop Sweater,-,rib knit,-,-,crop,-,high,-,plain,-,-,-,-,-,sweater,-
Chevron Pattern Open Knit Colorblock Drop Shoulder Sweater,-,knit,-,-,-,-,-,-,colorblock,-,-,-,drop shoulder,-,sweater,-
Off Shoulder Ribbed-knit Twist Sweater,-,twist,-,-,-,-,off the shoulder,-,-,-,-,-,-,-,sweater,-
Square Neck Bandana Hem Crop Sweater,-,-,-,bandana,crop,-,square,-,-,-,-,-,-,-,sweater,-
2 In 1 Cut Out Front Crop Sweater,-,cut out front,-,-,crop,-,-,-,-,-,-,-,-,-,sweater,-
Drop Shoulder Rib Knit Sweater,-,rib knit,-,-,-,-,-,-,-,-,-,-,drop shoulder,-,sweater,-
Raglan Sleeve Crop Sweater,-,-,-,-,crop,-,-,-,-,-,-,-,raglan,-,sweater,-
Colorblock Argyle Pattern Drop Shoulder Sweater,-,-,-,-,-,-,-,-,argyle,-,-,-,drop shoulder,-,sweater,-
Drop Shoulder Heart Pattern Sweater,-,-,-,-,-,-,-,-,heart,-,-,-,drop shoulder,-,sweater,-
DAZY Cable Knit Drop Shoulder Sweater,-,cable knit,-,-,-,-,-,-,-,-,-,-,drop shoulder,-,sweater,-
Ribbed Knit Sweater Vest,-,rib knit,-,-,-,-,-,-,-,-,-,-,-,-,sweater vest,-
Mock Neck Split Hem Sweater Dress Without Belt,-,belted,-,-,-,-,mock,-,-,-,-,-,-,-,sweater,-
Drop Shoulder Zip Up Hooded Cardigan,-,-,-,-,-,-,hooded,-,-,-,-,-,drop shoulder,-,cardigan,-
Solid Button Up Cardigan,-,button up,-,-,-,-,-,-,plain,-,-,-,-,-,cardigan,-
Solid Drop Shoulder Button Up Crop Cardigan,-,button up,-,-,crop,-,-,-,plain,-,-,-,drop shoulder,-,cardigan,-
Raglan Sleeve Pocket Patched Duster Cardigan,-,patched,-,-,-,-,-,-,-,-,-,-,raglan,-,cardigan,-
Pocket Patched Button Front Cardigan,-,patched,-,-,-,-,-,-,-,-,-,-,-,-,cardigan,-
Solid Cable Knit Cardigan,-,cable knit,-,-,-,-,-,-,plain,-,-,-,-,-,cardigan,-
Drop Shoulder Bear Embroidery Cardigan,-,embroidery,-,-,-,-,-,-,bear,-,-,-,drop shoulder,-,cardigan,-
Pearl Beaded Pocket Patched Cardigan,-,patched,-,-,-,-,-,-,-,-,-,-,-,-,cardigan,-
DAZY Dolman Sleeve Open Front Crop Cardigan,-,open front,-,-,crop,-,-,-,-,-,-,-,dolman,-,cardigan,-
Button Front Fuzzy Knit Cardigan,-,fuzzy knit,-,-,-,-,-,-,-,-,-,-,-,-,cardigan,-
Eyelet Detail Cable Knit Cardigan,-,cable knit,-,-,-,-,-,-,-,-,-,-,-,-,cardigan,-
Dazy-Less Cable Knit Drop Shoulder Contrast Trim Cardigan,-,contrast trim,-,-,-,-,-,-,-,-,-,-,drop shoulder,-,cardigan,-
DAZY Letter &amp; Striped Pattern Drop Shoulder Cardigan,-,-,-,-,-,-,-,-,stripes,-,-,-,drop shoulder,-,cardigan,-
Hooded Drawstring Waist Cardigan,-,drawstring waist,-,-,-,-,hooded,-,-,-,-,-,-,-,cardigan,-
Cable Knit V-neck Sweater Vest,-,cable knit,-,-,-,-,v,-,-,-,-,-,-,-,sweater vest,-
